transcript_id	gene_id	0	10	18	24	30	40	48	56	64	72
NM_001242703.1	HE	0.00	1430.53	341.83	1.22	0.28	0.46	0.00	0.42	0.38	0.36
NM_214543.1	HMG1	552.84	2287.04	3472.60	414.03999999999996	427.53	138.12	69.52	62.91	92.42	92.60
NM_214559.1	HMGCR	445.08	120.34	201.82	380.845	358.54	368.06	295.95	282.71	238.20	194.62
NM_214561.2	HMX	10.45	2.57	17.96	59.59	39.56	35.41	18.46	21.21	10.56	11.26
NM_214609.1	Hbox7	0.10	1.63	14.21	4.02	11.45	14.81	10.62	12.58	1.37	1.49
XM_011683932.2	Hbox7	0.00	11.72	151.17	26.79	16.46	5.43	5.00	2.91	14.32	12.37
NM_001001768.2	Hes	0.58	0.55	24.16	120.17	198.52	178.31	130.96	151.06	109.08	85.51
NM_001129814.1	Hlf	18.58	65.13	286.49	342.85	370.14	325.68	249.47	240.21	318.78	296.25
NM_001129813.1	IrxA	0.64	1.49	19.49	207.07	400.20	393.91	209.39	219.32	152.71	173.33
NM_214568.1	KATNA1	17.72	12.94	6.71	16.07	28.92	11.42	8.93	0.00	20.69	25.26
XM_011685796.2	KATNA1	0.00	21.96	3.76	22.189999999999998	45.46	6.07	11.95	9.82	15.91	33.01
XM_011685797.2	KATNA1	16.57	26.91	10.94	27.354999999999997	35.99	29.97	16.17	15.61	21.45	29.90
XM_011685798.2	KATNA1	17.42	7.59	8.09	10.02	0.00	31.77	16.53	21.70	7.85	12.26
NM_214491.2	KIF15	42.96	5.50	1.13	10.280000000000001	3.96	7.04	4.62	5.44	1.51	1.33
XM_030975044.1	KIF15	9.32	8.86	4.26	9.0	11.25	5.14	3.62	1.60	7.77	6.48
XM_030975045.1	KIF15	0.00	7.55	1.78	0.0	0.00	0.00	0.00	0.00	0.11	0.00
NM_214612.1	KRP85	142.04	37.73	19.02	18.025	20.52	20.19	16.00	13.64	16.93	18.79
NM_001202491.1	Klf7	1.35	1.31	8.74	8.155000000000001	12.69	16.36	13.78	14.66	6.25	8.34
XM_030973674.1	Klf7	0.77	1.01	18.49	9.58	22.07	14.55	13.31	8.88	27.76	16.12
NM_001098459.1	LOC100048987	0.02	0.77	6.47	10.85	10.40	3.95	3.15	2.89	5.59	4.84
